"",".","miRNA"
"hsa-let-7i_hsa-let-7i-3p",0.0009659144697139,"hsa-let-7i-3p"
"hsa-mir-141_hsa-miR-141-3p",0.00247326647533334,"hsa-miR-141-3p"
"hsa-mir-192_hsa-miR-192-3p",0.0012024776425408,"hsa-miR-192-3p"
"hsa-mir-96_hsa-miR-96-5p",0.00102114980555253,"hsa-miR-96-5p"
"hsa-mir-6503_hsa-miR-6503-3p",1.58035562007313e-05,"hsa-miR-6503-3p"
"hsa-mir-3143_hsa-miR-3143",0.000319866905193083,"hsa-miR-3143"
"hsa-mir-191_hsa-miR-191-5p",0.00382293133036105,"hsa-miR-191-5p"
"hsa-mir-4433b_hsa-miR-4433b-5p",0.000541130493943345,"hsa-miR-4433b-5p"
"hsa-mir-20a_hsa-miR-20a-5p",0.00146148143766567,"hsa-miR-20a-5p"
"hsa-mir-1-2_hsa-miR-1",0.00221169779058036,"hsa-miR-1"
"hsa-mir-193b_hsa-miR-193b-3p",0.00074767820331002,"hsa-miR-193b-3p"
"hsa-mir-221_hsa-miR-221-5p",0.000278350058662698,"hsa-miR-221-5p"
"hsa-mir-34c_hsa-miR-34c-5p",7.98995795509708e-05,"hsa-miR-34c-5p"
"hsa-mir-7704_hsa-miR-7704",0.00194654351161814,"hsa-miR-7704"
"hsa-mir-615_hsa-miR-615-3p",0.000942038536475488,"hsa-miR-615-3p"
"hsa-mir-193a_hsa-miR-193a-5p",0.000602382191920037,"hsa-miR-193a-5p"
"hsa-mir-301a_hsa-miR-301a-5p",0.000747985084249925,"hsa-miR-301a-5p"
"hsa-mir-4306_hsa-miR-4306",0.00291573833422467,"hsa-miR-4306"
"hsa-mir-6513_hsa-miR-6513-3p",0.000343871208601863,"hsa-miR-6513-3p"
"hsa-mir-490_hsa-miR-490-3p",0.00102593471246001,"hsa-miR-490-3p"
"hsa-mir-500b_hsa-miR-500b-3p",0.000212170140970855,"hsa-miR-500b-3p"
"hsa-mir-4469_hsa-miR-4469",0.000427658125464133,"hsa-miR-4469"
"hsa-mir-6815_hsa-miR-6815-5p",0.00121322655282494,"hsa-miR-6815-5p"
"hsa-mir-580_hsa-miR-580-3p",0.000871523735287202,"hsa-miR-580-3p"
"hsa-mir-766_hsa-miR-766-3p",0.00297946590397251,"hsa-miR-766-3p"
"hsa-mir-1-1_hsa-miR-1",0.00204582365606601,"hsa-miR-1"
"hsa-mir-338_hsa-miR-338-3p",0.00364540151747946,"hsa-miR-338-3p"
