"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","miRNA"
"hsa-mir-376b_hsa-miR-376b-3p",247.736047293444,0.307772697707676,0.344048897253379,0.894560918999291,0.371021850982355,0.726204734135417,"hsa-miR-376b-3p"
"hsa-mir-376b_hsa-miR-376b-5p",2.80560590002812,0.439356820350618,0.380410586318116,1.15495424194954,0.248109165155863,0.650076746369505,"hsa-miR-376b-5p"
"hsa-mir-376a-1_hsa-miR-376a-5p",12.4047171789148,0.673502127228213,0.379338460759796,1.77546491299412,0.075821154038169,0.423148178805074,"hsa-miR-376a-5p"
"hsa-mir-376a-1_hsa-miR-376a-3p",759.712847186268,0.483910897816895,0.334955657001181,1.44470137375584,0.148541783880219,0.550349500157978,"hsa-miR-376a-3p"
"hsa-mir-1185-1_hsa-miR-1185-1-3p",21.6149587821293,-0.109859879635796,0.393037729719142,-0.279514843814867,0.779849748087272,0.915412414577209,"hsa-miR-1185-1-3p"
"hsa-mir-1185-2_hsa-miR-1185-5p",2.7977219707171,0.570510703237012,0.441985078968824,1.29079177190335,0.196775891710246,0.598718091326301,"hsa-miR-1185-5p"
"hsa-mir-1185-2_hsa-miR-1185-2-3p",3.80908009420601,0.252772511151104,0.414760753364856,0.609441730203305,0.542231684827419,0.82904098446814,"hsa-miR-1185-2-3p"
"hsa-mir-381_hsa-miR-381-3p",96.356617302023,0.188660153059821,0.310116736968142,0.608352051244504,0.542954005585196,0.82904098446814,"hsa-miR-381-3p"
"hsa-mir-381_hsa-miR-381-5p",3.0219167323658,0.593580240832669,0.427329855018225,1.38904463112542,0.164819178865194,0.571858808438354,"hsa-miR-381-5p"
"hsa-mir-487b_hsa-miR-487b-3p",15.904156047278,0.619318291060086,0.371013252415731,1.66926191187942,0.0950654850588513,0.457479882122288,"hsa-miR-487b-3p"
"hsa-mir-539_hsa-miR-539-5p",25.3473535379223,0.53349111865457,0.404416360829925,1.319163046618,0.187114609412498,0.59047895677031,"hsa-miR-539-5p"
"hsa-mir-889_hsa-miR-889-3p",3.34077328621606,1.08436203136569,0.436324778096307,2.48521763099675,0.0129472255583584,0.23446938908941,"hsa-miR-889-3p"
"hsa-mir-655_hsa-miR-655-3p",4.76103128114363,-0.354565030137339,0.443407287454436,-0.799637354119429,0.423920938539965,0.758411680345792,"hsa-miR-655-3p"
"hsa-mir-487a_hsa-miR-487a-3p",9.67765808440885,0.545277121465984,0.4266688634707,1.27798667338993,0.201254125212594,0.604158587946662,"hsa-miR-487a-3p"
"hsa-mir-487a_hsa-miR-487a-5p",8.96554376420162,0.720719582140215,0.376036497745418,1.91662135580295,0.0552860529077888,0.392376706086679,"hsa-miR-487a-5p"
"hsa-mir-382_hsa-miR-382-5p",390.835896392636,0.687948304275018,0.320221798512286,2.14834938617904,0.0316860103610685,0.297006663869585,"hsa-miR-382-5p"
"hsa-mir-382_hsa-miR-382-3p",9.97925319782946,0.0928385269900134,0.39794838154955,0.233292887455691,0.815533981240597,0.929501524898539,"hsa-miR-382-3p"
"hsa-mir-134_hsa-miR-134-5p",676.98657262457,0.778421087455599,0.332885550864219,2.33840455205913,0.0193662718244513,0.245697347591018,"hsa-miR-134-5p"
"hsa-mir-485_hsa-miR-485-5p",18.1534645253242,1.01791144174354,0.378108871939646,2.69211202721004,0.00710010912675826,0.188385564190028,"hsa-miR-485-5p"
"hsa-mir-485_hsa-miR-485-3p",101.117263755202,0.899702709131525,0.339916592788529,2.64683374751068,0.00812492865613873,0.196248276771351,"hsa-miR-485-3p"
"hsa-mir-323b_hsa-miR-323b-3p",5.73942452151217,0.978954754344693,0.483531270480206,2.0245945073469,0.0429090187307478,0.341099541302654,"hsa-miR-323b-3p"
"hsa-mir-154_hsa-miR-154-5p",48.7346764700949,0.49895475183358,0.362717534032365,1.37560141161816,0.168945069430396,0.578929127240703,"hsa-miR-154-5p"
"hsa-mir-154_hsa-miR-154-3p",8.03216137705769,0.0984901808782922,0.37972442983775,0.259372779677029,0.795347629911448,0.92195826863373,"hsa-miR-154-3p"
"hsa-mir-496_hsa-miR-496",18.310287276721,-0.406514895389989,0.398315081913032,-1.02058624905081,0.307450507110626,0.698296269314551,"hsa-miR-496"
"hsa-mir-377_hsa-miR-377-5p",11.9255959525405,1.12981524627144,0.400236305783127,2.82287046413937,0.00475957977315396,0.166056449863372,"hsa-miR-377-5p"
